id,name,category,price
1,Fundamental even-keeled protocol,Beauty,60.11
2,Reactive context-sensitive project,Beauty,141.14
3,Balanced uniform matrix,Home & Kitchen,74.07
4,Ameliorated analyzing artificial intelligence,Electronics,339.97
5,Intuitive real-time framework,Sports,48.03
6,Cloned incremental hierarchy,Fashion,20.73
7,Synchronized stable array,Electronics,113.23
8,Object-based uniform challenge,Sports,303.0
9,Front-line bifurcated orchestration,Sports,103.42
10,User-centric motivating capability,Beauty,352.16
11,Programmable static paradigm,Fashion,114.12
12,Vision-oriented multi-tasking extranet,Sports,142.7
13,Proactive background encoding,Toys,8.22
14,Right-sized bottom-line throughput,Toys,84.03
15,Intuitive full-range paradigm,Fashion,173.42
16,User-centric human-resource workforce,Home & Kitchen,111.58
17,User-friendly value-added encoding,Toys,171.61
18,Optimized didactic circuit,Electronics,193.06
19,Customer-focused context-sensitive data-warehouse,Books,424.51
20,Grass-roots leadingedge installation,Sports,135.94
21,Function-based optimizing approach,Electronics,366.22
22,Pre-emptive national hub,Sports,66.79
23,Total bifurcated functionalities,Fashion,44.01
24,Quality-focused interactive leverage,Books,415.56
25,Synergized dynamic focus group,Sports,443.3
26,Digitized high-level leverage,Books,290.79
27,Universal holistic function,Beauty,39.43
28,Ameliorated secondary portal,Beauty,117.81
29,Automated user-facing protocol,Books,492.68
30,Business-focused system-worthy toolset,Toys,120.23
31,Synchronized disintermediate extranet,Electronics,193.16
32,Reactive human-resource function,Fashion,319.66
33,Sharable tangible hierarchy,Books,85.51
34,Synergized bottom-line monitoring,Books,108.71
35,Front-line leadingedge info-mediaries,Books,352.4
36,Advanced hybrid extranet,Beauty,325.78
37,Innovative background system engine,Sports,319.31
38,Front-line exuding database,Sports,365.92
39,Diverse leadingedge product,Home & Kitchen,233.82
40,Intuitive zero administration project,Books,494.81
41,Open-source 5thgeneration focus group,Beauty,345.64
42,Configurable zero-defect matrix,Home & Kitchen,343.88
43,Phased user-facing installation,Toys,385.32
44,Managed transitional interface,Electronics,118.38
45,Cross-platform cohesive standardization,Electronics,403.5
46,Fundamental motivating architecture,Fashion,137.53
47,Multi-channeled intangible portal,Home & Kitchen,457.0
48,Upgradable neutral support,Sports,438.8
49,Inverse logistical solution,Books,110.25
50,Assimilated well-modulated application,Fashion,200.84
51,Stand-alone secondary contingency,Beauty,232.13
52,Self-enabling leadingedge utilization,Books,74.12
53,Stand-alone client-driven ability,Beauty,282.88
54,Open-architected dedicated product,Books,374.77
55,Integrated foreground orchestration,Fashion,449.42
56,Configurable bifurcated complexity,Fashion,184.19
57,Fully-configurable multi-state structure,Home & Kitchen,257.22
58,Visionary solution-oriented task-force,Electronics,379.11
59,De-engineered radical software,Toys,59.28
60,Open-source foreground knowledge user,Beauty,84.19
61,Polarized user-facing challenge,Beauty,213.97
62,Fundamental context-sensitive software,Electronics,195.46
63,Reverse-engineered fresh-thinking website,Sports,498.08
64,Horizontal dedicated artificial intelligence,Sports,129.45
65,Operative holistic contingency,Sports,431.09
66,Object-based homogeneous orchestration,Electronics,341.74
67,Face-to-face 3rdgeneration adapter,Electronics,342.45
68,Realigned secondary pricing structure,Sports,376.68
69,Self-enabling discrete array,Toys,322.28
70,Persistent dedicated firmware,Electronics,150.28
71,Total composite application,Home & Kitchen,229.59
72,Open-architected regional interface,Beauty,438.55
73,Right-sized empowering collaboration,Books,486.08
74,Cross-group holistic concept,Toys,93.43
75,Re-contextualized bottom-line access,Electronics,435.91
76,Universal multi-tasking Internet solution,Books,421.63
77,Visionary logistical service-desk,Sports,306.44
78,Proactive bottom-line definition,Home & Kitchen,190.09
79,Universal demand-driven core,Home & Kitchen,271.99
80,Future-proofed executive synergy,Toys,461.6
81,Proactive homogeneous capacity,Electronics,301.48
82,Optional demand-driven policy,Fashion,14.64
83,Extended executive superstructure,Books,439.97
84,Synergistic content-based instruction set,Toys,404.35
85,Enterprise-wide incremental utilization,Home & Kitchen,33.67
86,Digitized 4thgeneration frame,Sports,473.74
87,Fundamental disintermediate process improvement,Electronics,367.29
88,Organized dynamic hub,Toys,39.26
89,Reduced systemic project,Toys,268.69
90,Persevering attitude-oriented access,Home & Kitchen,68.55
91,Phased client-driven Graphic Interface,Fashion,473.69
92,Team-oriented hybrid software,Home & Kitchen,136.2
93,Extended transitional info-mediaries,Toys,305.26
94,Triple-buffered interactive support,Home & Kitchen,464.81
95,Right-sized eco-centric archive,Toys,366.32
96,Cross-platform next generation approach,Home & Kitchen,357.91
97,Business-focused full-range encoding,Fashion,497.6
98,Phased heuristic portal,Beauty,189.84
99,Synchronized radical strategy,Sports,228.49
100,User-friendly 6thgeneration ability,Home & Kitchen,116.23
101,Function-based motivating process improvement,Books,15.41
102,Multi-tiered exuding infrastructure,Sports,118.91
103,Synchronized holistic capacity,Home & Kitchen,8.56
104,Realigned 6thgeneration paradigm,Beauty,317.4
105,Enhanced empowering concept,Home & Kitchen,38.36
106,Profit-focused modular Graphical User Interface,Electronics,430.52
107,Persistent clear-thinking array,Electronics,259.51
108,Intuitive tertiary moderator,Books,336.14
109,Optional client-server firmware,Home & Kitchen,271.92
110,Customizable foreground analyzer,Beauty,468.08
111,De-engineered modular focus group,Sports,290.22
112,User-friendly high-level Internet solution,Home & Kitchen,393.39
113,Horizontal empowering pricing structure,Toys,206.49
114,Virtual empowering model,Electronics,52.98
115,Intuitive intermediate concept,Fashion,180.38
116,Intuitive user-facing matrix,Fashion,236.18
117,Virtual coherent open architecture,Beauty,31.81
118,Switchable scalable website,Beauty,492.16
119,Organic actuating core,Electronics,35.0
120,Distributed actuating emulation,Beauty,172.95
