product_id,product_name,category,total_quantity,total_revenue
6,Cloned incremental hierarchy,Fashion,47,974.31
10,User-centric motivating capability,Beauty,47,16551.52
98,Phased heuristic portal,Beauty,47,8922.48
99,Synchronized radical strategy,Sports,47,10739.03
18,Optimized didactic circuit,Electronics,44,8494.64
58,Visionary solution-oriented task-force,Electronics,43,16301.73
79,Universal demand-driven core,Home & Kitchen,40,10879.6
36,Advanced hybrid extranet,Beauty,39,12705.42
66,Object-based homogeneous orchestration,Electronics,38,12986.12
16,User-centric human-resource workforce,Home & Kitchen,37,4128.46
48,Upgradable neutral support,Sports,37,16235.6
96,Cross-platform next generation approach,Home & Kitchen,37,13242.67
39,Diverse leadingedge product,Home & Kitchen,36,8417.52
47,Multi-channeled intangible portal,Home & Kitchen,36,16452.0
49,Inverse logistical solution,Books,36,3969.0
86,Digitized 4thgeneration frame,Sports,36,17054.64
37,Innovative background system engine,Sports,35,11175.85
72,Open-architected regional interface,Beauty,35,15349.25
87,Fundamental disintermediate process improvement,Electronics,35,12855.15
8,Object-based uniform challenge,Sports,34,10302.0
